Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Fringilla coelebs	Common chaffinch	37598	25	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Porphyrio melanotus	Pukeko	72013	376	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Tadorna variegata	Paradise Shelduck	107024	349	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Prosthemadera novaeseelandiae	Tui	266374	53	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Prosthemadera
Gallirallus australis	Weka	9125	21	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Gallirallus
Anas platyrhynchos	Mallard duck	8839	125	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus	Thrush	9186	34	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Cygnus atratus	Black swan	8868	124	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Cygnus
Hirundo neoxena	Welcome swallow	317132	60	species	Birds	Chordata	Aves	Passeriformes	Hirundinidae	Hirundo
Turdus merula	Blackbird	9187	6	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Turdus	Thrush	9186	103	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Porphyrio melanotus	Pukeko	72013	11	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	190	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio	Swamphens	54483	13	genus	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Passer domesticus	House sparrow	48849	18	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Cygnus atratus	Black swan	8868	101	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Cygnus
Turdus	Thrush	9186	49	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Hirundo neoxena	Welcome swallow	317132	11	species	Birds	Chordata	Aves	Passeriformes	Hirundinidae	Hirundo
Gallirallus australis	Weka	9125	614	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Gallirallus
Anas platyrhynchos	Mallard duck	8839	1739	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Microcarbo melanoleucos	Little shag	146618	303	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Anas platyrhynchos	Mallard duck	8839	183	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Columba livia	Pigeon	8932	33	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Passer domesticus	House sparrow	48849	36	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Turdus philomelos	Song thrush	127946	90	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Phalacrocorax carbo	Black Shag	9209	261	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Branta canadensis	Canada goose	8853	39	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Branta
Turdus	Thrush	9186	29	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Phalacrocorax carbo	Black Shag	9209	89	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Porphyrio melanotus	Pukeko	72013	7	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	625	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus philomelos	Song thrush	127946	30	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Turdus philomelos	Song thrush	127946	254	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	2126	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Gallirallus australis	Weka	9125	8	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Gallirallus
Phasianus colchicus	Pheasant	9054	139	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Phasianus
Sturnus vulgaris	Common starling	9172	11	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Anas rhynchotis	Australasian shoveler	45633	5	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Fringilla coelebs	Common chaffinch	37598	684	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Passer	Sparrow	9159	129	genus	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Anas platyrhynchos	Mallard duck	8839	1649	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus philomelos	Song thrush	127946	44	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Prosthemadera novaeseelandiae	Tui	266374	58	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Prosthemadera
Zosterops lateralis	Silvereye	43581	55	species	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Tadorna variegata	Paradise Shelduck	107024	182	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Turdus	Thrush	9186	11	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Fringilla coelebs	Common chaffinch	37598	7	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Passer	Sparrow	9159	14	genus	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Porphyrio melanotus	Pukeko	72013	1071	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Porphyrio melanotus	Pukeko	72013	160	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	68	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Columba livia	Pigeon	8932	15	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Passer domesticus	House sparrow	48849	26	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Microcarbo melanoleucos	Little shag	146618	245	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Anas platyrhynchos	Mallard duck	8839	1659	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	1211	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio	Swamphens	54483	25	genus	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Zosterops lateralis	Silvereye	43581	164	species	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Poodytes punctatus	New Zealand fernbird	980226	10	species	Birds	Chordata	Aves	Passeriformes	Locustellidae	Poodytes
Turdus philomelos	Song thrush	127946	137	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Porphyrio melanotus	Pukeko	72013	402	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Sturnus vulgaris	Common starling	9172	16	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Passer domesticus	House sparrow	48849	13	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Tadorna variegata	Paradise Shelduck	107024	8	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Turdus merula	Blackbird	9187	5	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	115	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Fringilla coelebs	Common chaffinch	37598	26	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Porphyrio melanotus	Pukeko	72013	8	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Porphyrio melanotus	Pukeko	72013	14	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	527	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	38	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Passer	Sparrow	9159	49	genus	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Turdus merula	Blackbird	9187	5	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Phalacrocorax carbo	Black Shag	9209	10	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Tadorna variegata	Paradise Shelduck	107024	27	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Porphyrio melanotus	Pukeko	72013	175	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Hemiphaga novaeseelandiae	Kereru	262124	45	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Hemiphaga
Anas platyrhynchos	Mallard duck	8839	111	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Phasianus colchicus	Pheasant	9054	17	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Phasianus
Anas platyrhynchos	Mallard duck	8839	36	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	514	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Hemiphaga novaeseelandiae	Kereru	262124	11	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Hemiphaga
Turdus merula	Blackbird	9187	12	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Porphyrio melanotus	Pukeko	72013	499	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	527	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Passer domesticus	House sparrow	48849	41	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Anas platyrhynchos	Mallard duck	8839	265	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Prosthemadera novaeseelandiae	Tui	266374	12	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Prosthemadera
Porphyrio melanotus	Pukeko	72013	1043	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Phalacrocorax carbo	Black Shag	9209	13	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Turdus philomelos	Song thrush	127946	55	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Turdus merula	Blackbird	9187	40	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	49	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Columba livia	Pigeon	8932	44	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Anas platyrhynchos	Mallard duck	8839	4489	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus merula	Blackbird	9187	7	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Turdus philomelos	Song thrush	127946	5	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Sturnus vulgaris	Common starling	9172	103	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Carduelis carduelis	Goldfinch	37600	14	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Carduelis
Anas platyrhynchos	Mallard duck	8839	14	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	162	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Microcarbo melanoleucos	Little shag	146618	75	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Anas platyrhynchos	Mallard duck	8839	8	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Callipepla californica	Californian quail	67771	7	species	Birds	Chordata	Aves	Galliformes	Odontophoridae	Callipepla
