"HID","UID","Name","CommonName","TaxID","Count","Rank","Group","Phylum","Class","Order","Family","Genus"
52897792,711402,"Woronina","",1484335,87,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
21141458,704374,"Nitella","",3148,885,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
61088659,521252,"Woronina","",1484335,79,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
15127762,401345,"Chaetonotus","Gastrotrich",68038,44,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
14895851,515765,"Lepidodermella","",41322,87,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Lepidodermella"
12504273,515217,"Procryptobia","",266822,48,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
2784301,504888,"Chaetonotus","Gastrotrich",68038,339,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
37260306,539544,"Micronuclearia","",238745,10,"genus","Other",NA,NA,"Rigifilida",NA,"Micronuclearia"
13333003,516054,"Chaetonotus","Gastrotrich",68038,1029,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
62961264,413124,"Micronuclearia","",238745,63,"genus","Other",NA,NA,"Rigifilida",NA,"Micronuclearia"
39269797,716162,"Chaetonotus","Gastrotrich",68038,26,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
42449795,523722,"Lepidodermella squamata","Gastrotrich worm",1194616,11,"species","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Lepidodermella"
60920032,732102,"Scutigerella","",61987,15,"genus","Other","Arthropoda","Symphyla",NA,"Scutigerellidae","Scutigerella"
25036732,712936,"Chaetonotus","Gastrotrich",68038,10,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
56004293,722503,"Procryptobia","",266822,49,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
42674509,724701,"Chara australis","Stonewort",31298,140,"species","Other","Streptophyta","Charophyceae","Charales","Characeae","Chara"
4991013,513178,"unclassified Rhynchobodo","",2648342,11,"no rank","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Rhynchobodo"
6018469,508950,"Spirogyra","",3179,97,"genus","Other","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Spirogyra"
9478259,400858,"Pantopsalis sp. DNA100702","Harvestman",863961,39,"species","Other","Arthropoda","Arachnida","Opiliones","Neopilionidae","Pantopsalis"
7887669,400197,"Staurastrum punctulatum","",102822,93,"species","Other","Streptophyta","Zygnemophyceae","Desmidiales","Desmidiaceae","Staurastrum"
